codigo;descripcion;precio;stock
NM-A501OTR00002;17.5-25 CEAT TRAC XL E3/L3 20PR TL;$ 3.007.644;8
NM-A501OTR00001;20.5-25 CEAT TRAC XL E3/L3 20PR TL;$ 4.241.550;4
NM-A501OTR00003;23.5-25 CEAT TRAC XL E3/L3 20PR TL;$ 5.498.336;2
NM-A501OTR00006;26.5-25 CEAT TRAC XL E3/L3 28PR TL;$ 8.097.504;58
NM-A501IND0009;6.00-9 NHS ELEVETA X3 10PR TT    SET CAM + PROT;$ 272.742;1
NM-A501IND0010;6.50-10 NHS ELEVETA X3 12PR TT  SET CAM + PROT;$ 266.685;5
NM-A501IND0011;7.00-12 NHS ELEVETA X3 12PR TT  SET CAM + PROT;$ 432.447;2
NM-A501IND0012;8.25-15-14PR-CEAT-NHS-ELEVETA-X3-TT;$ 673.103;2
NM-A501IND0013;28X9-15-14PR-CEAT-NHS-ELEVETA-X3-TT;$ 564.213;0
NM-S400AG00006;14.9-28 CULTOR AGRI 20 8PR TT;$ 1.244.491;0
NM-S400AG00007;18.4-30 CULTOR AGRI 13 12PR TT;$ 1.656.042;0
NM-S400AG00008;18.4-34 CULTOR AGRI 10 16PR TT;$ 2.146.561;0
